date,stage,home_team,away_team,home_score,away_score,ht_home_score,ht_away_score,venue_city,scorers_raw,source
2026-06-11,Group A,Mexico,South Africa,2,0,1,0,Mexico City,(Julián Quiñones 9' Raúl Jiménez 67'),openfootball
2026-06-11,Group A,South Korea,Czech Republic,2,1,0,0,Guadalajara (Zapopan),(Hwang In-Beom 67' Oh Hyeon-Gyu 80'; | Ladislav Krejcí 59'),openfootball
2026-06-18,Group A,Czech Republic,South Africa,1,1,1,0,Atlanta,(Michal Sadílek 6'; Teboho Mokoena 83'(p)),openfootball
2026-06-18,Group A,Mexico,South Korea,1,0,0,0,Guadalajara (Zapopan),(Luis Romo 50'),openfootball
2026-06-24,Group A,Czech Republic,Mexico,0,3,0,0,Mexico City,(Mateo Chávez 55' Julián Quiñones 61' Álvaro Fidalgo 90+4'),openfootball
2026-06-24,Group A,South Africa,South Korea,1,0,0,0,Monterrey (Guadalupe),(Thapelo Maseko 63'),openfootball
2026-06-12,Group B,Canada,Bosnia and Herzegovina,1,1,0,1,Toronto,(Cyle Larin 78'; Jovo Lukić 21'),openfootball
2026-06-13,Group B,Qatar,Switzerland,1,1,0,1,San Francisco Bay Area (Santa Clara),(Miro Muheim 90+4'(og); Breel Embolo 17'(p)),openfootball
2026-06-18,Group B,Switzerland,Bosnia and Herzegovina,4,1,0,0,Los Angeles (Inglewood),"(Johan Manzambi 74',90' Rubén Vargas 84' Granit Xhaka 90+7'(p); | Ermin Mahmic 90+3')",openfootball
2026-06-18,Group B,Canada,Qatar,6,0,3,0,Vancouver,"(Cyle Larin 16' Jonathan David 29',45+3' | Nathan Saliba 64' Mohamed Manai 75'(og) Jonathan David 90+2')",openfootball
2026-06-24,Group B,Switzerland,Canada,2,1,0,0,Vancouver,(Rubén Vargas 46' Johan Manzambi 57'; | Promise David 76'),openfootball
2026-06-24,Group B,Bosnia and Herzegovina,Qatar,3,1,2,1,Seattle,(Kerim Alajbegovic 29' Mahmoud Abunada 34'(OG) Ermin Mahmic 80'; | Hassan Al-Haydos 42'),openfootball
2026-06-13,Group C,Brazil,Morocco,1,1,1,1,New York/New Jersey (East Rutherford),(Vinícius Júnior 32'; Ismael Saibari 21'),openfootball
2026-06-13,Group C,Haiti,Scotland,0,1,0,1,Boston (Foxborough),(John McGinn 28'),openfootball
2026-06-19,Group C,Scotland,Morocco,0,1,0,1,Boston (Foxborough),(Ismael Saibari 2'),openfootball
2026-06-19,Group C,Brazil,Haiti,3,0,3,0,Philadelphia,"(Matheus Cunha 23',36' Vinícius Júnior 45+3')",openfootball
2026-06-24,Group C,Scotland,Brazil,0,3,0,2,Miami (Miami Gardens),"(Vinícius Júnior 7', 45+3' Matheus Cunha 60')",openfootball
2026-06-24,Group C,Morocco,Haiti,4,2,2,2,Atlanta,(Achraf Hakimi 39' Ismael Saibari 45+1' Soufiane Rahimi 78' Gessime Yassine 89'; | Yassine Bounou 10'(OG) Wilson Isidor 43'),openfootball
2026-06-12,Group D,United States,Paraguay,4,1,3,0,Los Angeles (Inglewood),"(Damian Bobadilla 7'(og) Folarin Balogun 31',45+5' Giovanni Reyna 90+8'; | Mauricio 73' )",openfootball
2026-06-13,Group D,Australia,Turkey,2,0,1,0,Vancouver,(Nestory Irankunda 27' Connor Metcalfe 75'),openfootball
2026-06-19,Group D,United States,Australia,2,0,2,0,Seattle,(Cameron Burgess 11'(og) Alex Freeman 43'),openfootball
2026-06-19,Group D,Turkey,Paraguay,0,1,0,1,San Francisco Bay Area (Santa Clara),(Matías Galarza 2'),openfootball
2026-06-25,Group D,Turkey,United States,3,2,2,1,Los Angeles (Inglewood),(Arda Güler 10' Baris Alper Yilmaz 31' Kaan Ayhan 90+8'; | Auston Trusty 3' Sebastian Berhalter 49'),openfootball
2026-06-25,Group D,Paraguay,Australia,0,0,0,0,San Francisco Bay Area (Santa Clara),,openfootball
2026-06-14,Group E,Germany,Curaçao,7,1,3,1,Houston,"(Felix Nmecha 6' Nico Schlotterbeck 38' Kai Havertz 45+5'(p),88' | Jamal Musiala 47' Nathaniel Brown 68' Deniz Undav 78'; | Livano Comenencia 21')",openfootball
2026-06-14,Group E,Ivory Coast,Ecuador,1,0,0,0,Philadelphia,(Amad Diallo 90'),openfootball
2026-06-20,Group E,Germany,Ivory Coast,2,1,0,1,Toronto,"(Deniz Undav 68',90+4'; Franck Kessié 30')",openfootball
2026-06-20,Group E,Ecuador,Curaçao,0,0,0,0,Kansas City,,openfootball
2026-06-25,Group E,Curaçao,Ivory Coast,0,2,0,1,Philadelphia,"(Nicolas Pépé 7', 64')",openfootball
2026-06-25,Group E,Ecuador,Germany,2,1,1,1,New York/New Jersey (East Rutherford),(Nilson Angulo 9' Gonzalo Plata 77'; | Leroy Sané 2'),openfootball
2026-06-14,Group F,Netherlands,Japan,2,2,0,0,Dallas (Arlington),(Virgil van Dijk 51' Crysencio Summerville 64'; | Keito Nakamura 57' Daichi Kamada 88'),openfootball
2026-06-14,Group F,Sweden,Tunisia,5,1,2,1,Monterrey (Guadalupe),"(Yasin Ayari 7',90+6' Alexander Isak 30' Viktor Gyökeres 59' | Mattias Svanberg 84'; | Omar Rekik 43')",openfootball
2026-06-20,Group F,Netherlands,Sweden,5,1,2,0,Houston,"(Brian Brobbey 5',17' Cody Gakpo 47',54' Crysencio Summerville 89'; | Anthony Elanga 59')",openfootball
2026-06-20,Group F,Tunisia,Japan,0,4,0,2,Monterrey (Guadalupe),"(Daichi Kamada 4' Ayase Ueda 31',83' Junya Ito 69')",openfootball
2026-06-25,Group F,Japan,Sweden,1,1,0,0,Dallas (Arlington),(Daizen Maeda 56'; | Anthony Elanga 62'),openfootball
2026-06-25,Group F,Tunisia,Netherlands,1,3,0,2,Kansas City,(Hazem Mastouri 54'; | Ellyes Skhiri 3'(OG) Brian Brobbey 7' Jan Paul van Hecke 62'),openfootball
2026-06-15,Group G,Belgium,Egypt,1,1,0,1,Seattle,(Mohamed Hany 66'(og); | Emam Ashour 19'),openfootball
2026-06-15,Group G,Iran,New Zealand,2,2,1,1,Los Angeles (Inglewood),"(Ramin Rezaeian 32' Mohammad Mohebbi 64'; | Elijah Just 7', 54')",openfootball
2026-06-21,Group G,Belgium,Iran,0,0,0,0,Los Angeles (Inglewood),,openfootball
2026-06-21,Group G,New Zealand,Egypt,1,3,1,0,Vancouver,(Finn Surman 15'; | Mostafa Zico 58' Mohamed Salah 67' Trézéguet 82'),openfootball
