team,tournament_year,source,shirt_number,position,player_name,date_of_birth_raw,age,date_of_birth,caps,goals,club
Czech Republic,2026,wikipedia,1,GK,Matěj Kovář,(2000-05-17)17 May 2000 (aged 26),26.0,2000-05-17,20.0,0.0,PSV Eindhoven
Czech Republic,2026,wikipedia,2,DF,David Zima,(2000-11-08)8 November 2000 (aged 25),25.0,2000-11-08,25.0,1.0,Slavia Prague
Czech Republic,2026,wikipedia,3,DF,Tomáš Holeš,(1993-03-31)31 March 1993 (aged 33),33.0,1993-03-31,41.0,2.0,Slavia Prague
Czech Republic,2026,wikipedia,4,DF,Robin Hranáč,(2000-01-29)29 January 2000 (aged 26),26.0,2000-01-29,14.0,1.0,TSG Hoffenheim
Czech Republic,2026,wikipedia,5,DF,Vladimír Coufal,(1992-08-22)22 August 1992 (aged 33),33.0,1992-08-22,62.0,2.0,TSG Hoffenheim
Czech Republic,2026,wikipedia,6,DF,Štěpán Chaloupek,(2003-03-08)8 March 2003 (aged 23),23.0,2003-03-08,5.0,0.0,Slavia Prague
Czech Republic,2026,wikipedia,7,DF,Ladislav Krejčí(captain),(1999-04-20)20 April 1999 (aged 27),27.0,1999-04-20,27.0,5.0,Wolverhampton Wanderers
Czech Republic,2026,wikipedia,8,MF,Vladimír Darida,(1990-08-08)8 August 1990 (aged 35),35.0,1990-08-08,79.0,8.0,Hradec Králové
Czech Republic,2026,wikipedia,9,FW,Adam Hložek,(2002-07-25)25 July 2002 (aged 23),23.0,2002-07-25,43.0,5.0,TSG Hoffenheim
Czech Republic,2026,wikipedia,10,FW,Patrik Schick,(1996-01-24)24 January 1996 (aged 30),30.0,1996-01-24,53.0,26.0,Bayer Leverkusen
Czech Republic,2026,wikipedia,11,FW,Jan Kuchta,(1997-01-08)8 January 1997 (aged 29),29.0,1997-01-08,31.0,3.0,Sparta Prague
Czech Republic,2026,wikipedia,12,MF,Lukáš Červ,(2001-04-10)10 April 2001 (aged 25),25.0,2001-04-10,17.0,2.0,Viktoria Plzeň
Czech Republic,2026,wikipedia,13,FW,Mojmír Chytil,(1999-04-29)29 April 1999 (aged 27),27.0,1999-04-29,22.0,6.0,Slavia Prague
Czech Republic,2026,wikipedia,14,DF,David Jurásek,(2000-08-07)7 August 2000 (aged 25),25.0,2000-08-07,18.0,1.0,Slavia Prague
Czech Republic,2026,wikipedia,15,FW,Pavel Šulc,(2000-12-29)29 December 2000 (aged 25),25.0,2000-12-29,21.0,5.0,Lyon
Czech Republic,2026,wikipedia,16,GK,Jindřich Staněk,(1996-04-27)27 April 1996 (aged 30),30.0,1996-04-27,14.0,0.0,Slavia Prague
Czech Republic,2026,wikipedia,17,MF,Lukáš Provod,(1996-10-23)23 October 1996 (aged 29),29.0,1996-10-23,38.0,3.0,Slavia Prague
Czech Republic,2026,wikipedia,18,MF,Michal Sadílek,(1999-05-31)31 May 1999 (aged 27),27.0,1999-05-31,35.0,1.0,Slavia Prague
Czech Republic,2026,wikipedia,19,FW,Tomáš Chorý,(1995-01-26)26 January 1995 (aged 31),31.0,1995-01-26,22.0,7.0,Slavia Prague
Czech Republic,2026,wikipedia,20,DF,Jaroslav Zelený,(1992-08-20)20 August 1992 (aged 33),33.0,1992-08-20,23.0,0.0,Sparta Prague
