threshold,base_value,pct_change,archetype,prevalence,n_matches
fav_underdog_elo_gap,150.0,-30,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,-30,favorite_vs_underdog,0.5641,585
fav_underdog_elo_gap,150.0,-30,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,-30,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,-30,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,-30,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,-30,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,-30,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,-20,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,-20,favorite_vs_underdog,0.4995,518
fav_underdog_elo_gap,150.0,-20,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,-20,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,-20,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,-20,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,-20,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,-20,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,-10,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,-10,favorite_vs_underdog,0.4484,465
fav_underdog_elo_gap,150.0,-10,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,-10,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,-10,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,-10,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,-10,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,-10,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,0,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,0,favorite_vs_underdog,0.3934,408
fav_underdog_elo_gap,150.0,0,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,0,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,0,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,0,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,0,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,0,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,10,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,10,favorite_vs_underdog,0.3558,369
fav_underdog_elo_gap,150.0,10,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,10,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,10,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,10,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,10,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,10,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,20,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,20,favorite_vs_underdog,0.3115,323
fav_underdog_elo_gap,150.0,20,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,20,generational_transition,0.1678,174
fav_underdog_elo_gap,150.0,20,club_power_mismatch,0.1524,158
fav_underdog_elo_gap,150.0,20,tactical_contrast,0.2035,211
fav_underdog_elo_gap,150.0,20,knockout_volatility,0.0723,75
fav_underdog_elo_gap,150.0,20,upset_realized,0.2141,222
fav_underdog_elo_gap,150.0,30,heavyweight_clash,0.0955,99
fav_underdog_elo_gap,150.0,30,favorite_vs_underdog,0.2729,283
fav_underdog_elo_gap,150.0,30,host_pressure,0.1263,131
fav_underdog_elo_gap,150.0,30,generational_transition,0.1678,174
