team_id,team_name,team_code,confederation,is_historical,modern_successor
1,Abkhazia,,Unknown,False,
2,Afghanistan,,AFC,False,
3,Albania,,UEFA,False,
4,Alderney,,Unknown,False,
5,Algeria,DZA,CAF,False,
6,Ambazonia,,Unknown,False,
7,American Samoa,,OFC,False,
8,Andalusia,,Unknown,False,
9,Andorra,,UEFA,False,
10,Angola,AGO,CAF,False,
11,Anguilla,,Unknown,False,
12,Antigua and Barbuda,,CONCACAF,False,
13,Arameans Suryoye,,Unknown,False,
14,Argentina,ARG,CONMEBOL,False,
15,Armenia,,UEFA,False,
16,Artsakh,,Unknown,False,
17,Aruba,,Unknown,False,
18,Asturias,,Unknown,False,
19,Australia,AUS,AFC,False,
20,Austria,AUT,UEFA,False,
21,Aymara,,Unknown,False,
22,Azerbaijan,,UEFA,False,
23,Bahamas,,CONCACAF,False,
24,Bahrain,,AFC,False,
25,Bangladesh,,AFC,False,
26,Barawa,,Unknown,False,
27,Barbados,,CONCACAF,False,
28,Basque Country,,Unknown,False,
29,Belarus,,UEFA,False,
30,Belgium,BEL,UEFA,False,
31,Belize,,CONCACAF,False,
32,Benin,,CAF,False,
33,Bermuda,,CONCACAF,False,
34,Bhutan,,AFC,False,
35,Biafra,,Unknown,False,
36,Bolivia,BOL,CONMEBOL,False,
37,Bonaire,,Unknown,False,
38,Bosnia and Herzegovina,BIH,UEFA,False,
39,Botswana,,CAF,False,
40,Brazil,BRA,CONMEBOL,False,
41,British Virgin Islands,,Unknown,False,
42,Brittany,,Unknown,False,
43,Brunei,,AFC,False,
44,Bulgaria,BGR,UEFA,False,
45,Burkina Faso,,CAF,False,
46,Burundi,,CAF,False,
47,Cambodia,,AFC,False,
48,Cameroon,CMR,CAF,False,
49,Canada,CAN,CONCACAF,False,
50,Canary Islands,,Unknown,False,
51,Cape Verde,,CAF,False,
52,Cascadia,,Unknown,False,
53,Catalonia,,Unknown,False,
54,Cayman Islands,,CONCACAF,False,
55,Central African Republic,,CAF,False,
56,Central Spain,,Unknown,False,
57,Chad,,CAF,False,
58,Chagos Islands,,Unknown,False,
59,Chameria,,Unknown,False,
60,Chechnya,,Unknown,False,
61,Chile,CHL,CONMEBOL,False,
62,China,CHN,AFC,False,
63,Chinese Taipei,TWN,AFC,False,
64,Cilento,,Unknown,False,
65,Colombia,COL,CONMEBOL,False,
66,Comoros,,CAF,False,
67,Congo,,CAF,False,
68,Cook Islands,,OFC,False,
69,Corsica,,Unknown,False,
70,Costa Rica,CRI,CONCACAF,False,
71,County of Nice,,Unknown,False,
72,Crimea,,Unknown,False,
73,Croatia,HRV,UEFA,False,
74,Cuba,CUB,CONCACAF,False,
75,Curaçao,,CONCACAF,False,
76,Cyprus,,UEFA,False,
77,Czech Republic,CZE,UEFA,False,
78,Czechoslovakia,CSK,UEFA,True,Czech Republic
79,DR Congo,,CAF,False,
80,Darfur,,Unknown,False,
81,Denmark,DNK,UEFA,False,
82,Djibouti,,CAF,False,
83,Dominica,,CONCACAF,False,
84,Dominican Republic,,CONCACAF,False,
85,Donetsk PR,,Unknown,False,
86,Dutch East Indies,IDN,AFC,True,Indonesia
87,Délvidék,,Unknown,False,
88,East Germany,DDR,UEFA,True,Germany
89,East Turkestan,,Unknown,False,
90,Ecuador,ECU,CONMEBOL,False,
91,Egypt,EGY,CAF,False,
92,El Salvador,SLV,CONCACAF,False,
93,Elba Island,,Unknown,False,
94,Ellan Vannin,,Unknown,False,
95,England,ENG,UEFA,False,
96,Equatorial Guinea,GNQ,CAF,False,
97,Eritrea,,CAF,False,
98,Estonia,,UEFA,False,
99,Eswatini,,CAF,False,
100,Ethiopia,,CAF,False,
101,Falkland Islands,,Unknown,False,
102,Faroe Islands,,UEFA,False,
103,Felvidék,,Unknown,False,
104,Fiji,,OFC,False,
105,Finland,,UEFA,False,
106,France,FRA,UEFA,False,
107,Franconia,,Unknown,False,
108,French Guiana,,Unknown,False,
109,Frøya,,Unknown,False,
110,Gabon,,CAF,False,
111,Galicia,,Unknown,False,
112,Gambia,,CAF,False,
113,Georgia,,UEFA,False,
114,Germany,DEU,UEFA,False,
115,Ghana,GHA,CAF,False,
116,Gibraltar,,UEFA,False,
117,Gotland,,Unknown,False,
118,Gozo,,Unknown,False,
119,Greece,GRC,UEFA,False,
120,Greenland,,Unknown,False,
121,Grenada,,CONCACAF,False,
122,Guadeloupe,,Unknown,False,
123,Guam,,AFC,False,
124,Guatemala,,CONCACAF,False,
125,Guernsey,,Unknown,False,
126,Guinea,,CAF,False,
127,Guinea-Bissau,,CAF,False,
128,Guyana,,CONCACAF,False,
129,Găgăuzia,,Unknown,False,
130,Haiti,HTI,CONCACAF,False,
131,Hitra,,Unknown,False,
132,Hmong,,Unknown,False,
133,Honduras,HND,CONCACAF,False,
134,Hong Kong,,AFC,False,
135,Hungary,HUN,UEFA,False,
136,Iceland,ISL,UEFA,False,
137,India,,AFC,False,
138,Indonesia,,AFC,False,
139,Iran,IRN,AFC,False,
140,Iraq,IRQ,AFC,False,
141,Iraqi Kurdistan,,Unknown,False,
142,Isle of Man,,Unknown,False,
143,Isle of Wight,,Unknown,False,
144,Israel,ISR,UEFA,False,
145,Italy,ITA,UEFA,False,
146,Ivory Coast,CIV,CAF,False,
147,Jamaica,JAM,CONCACAF,False,
148,Japan,JPN,AFC,False,
149,Jersey,,Unknown,False,
150,Jordan,,AFC,False,
151,Kabylia,,Unknown,False,
152,Kazakhstan,,UEFA,False,
153,Kenya,,CAF,False,
154,Kernow,,Unknown,False,
155,Kiribati,,OFC,False,
156,Kosovo,,UEFA,False,
157,Kurdistan,,Unknown,False,
158,Kuwait,KWT,AFC,False,
