tournament_id,tournament_name,year,host_country,host_continent,num_teams,format,winner,runner_up,third_place,matches_played,start_date,end_date
1,1930 FIFA World Cup,1930,Uruguay,South America,13,Group + Knockout,Uruguay,Argentina,United States,18,1930-07-13,1930-07-30
2,1934 FIFA World Cup,1934,Italy,Europe,16,Single Elimination,Italy,Czechoslovakia,Germany,17,1934-05-27,1934-06-10
3,1938 FIFA World Cup,1938,France,Europe,15,Single Elimination,Italy,Hungary,Brazil,18,1938-06-04,1938-06-19
4,1950 FIFA World Cup,1950,Brazil,South America,13,Group + Final Round,Uruguay,Brazil,Sweden,22,1950-06-24,1950-07-16
5,1954 FIFA World Cup,1954,Switzerland,Europe,16,Group + Knockout,West Germany,Hungary,Austria,26,1954-06-16,1954-07-04
6,1958 FIFA World Cup,1958,Sweden,Europe,16,Group + Knockout,Brazil,Sweden,France,35,1958-06-08,1958-06-29
7,1962 FIFA World Cup,1962,Chile,South America,16,Group + Knockout,Brazil,Czechoslovakia,Chile,32,1962-05-30,1962-07-17
8,1966 FIFA World Cup,1966,England,Europe,16,Group + Knockout,England,West Germany,Portugal,32,1966-07-11,1966-07-30
9,1970 FIFA World Cup,1970,Mexico,North America,16,Group + Knockout,Brazil,Italy,West Germany,32,1970-05-31,1970-06-21
10,1974 FIFA World Cup,1974,West Germany,Europe,16,Group + Knockout,West Germany,Netherlands,Poland,38,1974-06-13,1974-07-07
11,1978 FIFA World Cup,1978,Argentina,South America,16,Group + Knockout,Argentina,Netherlands,Brazil,38,1978-06-01,1978-06-25
12,1982 FIFA World Cup,1982,Spain,Europe,24,Group + Knockout,Italy,West Germany,Poland,52,1982-06-13,1982-07-11
13,1986 FIFA World Cup,1986,Mexico,North America,24,Group + Knockout,Argentina,West Germany,France,52,1986-05-31,1986-06-29
14,1990 FIFA World Cup,1990,Italy,Europe,24,Group + Knockout,West Germany,Argentina,Italy,52,1990-06-08,1990-07-08
15,1994 FIFA World Cup,1994,United States,North America,24,Group + Knockout,Brazil,Italy,Sweden,52,1994-06-17,1994-07-17
16,1998 FIFA World Cup,1998,France,Europe,32,8 Groups of 4 + Knockout,France,Brazil,Croatia,64,1998-06-10,1998-07-12
17,2002 FIFA World Cup,2002,South Korea / Japan,Asia,32,8 Groups of 4 + Knockout,Brazil,Germany,Turkey,64,2002-05-31,2002-06-30
18,2006 FIFA World Cup,2006,Germany,Europe,32,8 Groups of 4 + Knockout,Italy,France,Germany,64,2006-06-09,2006-07-09
19,2010 FIFA World Cup,2010,South Africa,Africa,32,8 Groups of 4 + Knockout,Spain,Netherlands,Germany,64,2010-06-11,2010-07-11
20,2014 FIFA World Cup,2014,Brazil,South America,32,8 Groups of 4 + Knockout,Germany,Argentina,Netherlands,64,2014-06-12,2014-07-13
21,2018 FIFA World Cup,2018,Russia,Europe,32,8 Groups of 4 + Knockout,France,Croatia,Belgium,64,2018-06-14,2018-07-15
22,2022 FIFA World Cup,2022,Qatar,Asia,32,8 Groups of 4 + Knockout,Argentina,France,Croatia,64,2022-11-20,2022-12-18
23,2026 FIFA World Cup,2026,United States / Canada / Mexico,North America,48,12 Groups of 4 + Knockout,TBD,TBD,TBD,104,2026-06-11,2026-07-19
